,Method,TrainSize,Train/Test,Accuracy,Repeat ID
567,AMCA,116,Test,0.4782608695652174,10
568,MCA,116,Train,0.603448275862069,11
569,MCA,116,Test,0.5652173913043478,11
570,ACA,116,Train,1.0,11
571,ACA,116,Test,0.391304347826087,11
572,FFI,116,Train,0.15517241379310345,11
573,FFI,116,Test,0.13043478260869565,11
574,AMCA,116,Train,1.0,11
575,AMCA,116,Test,0.391304347826087,11
576,MCA,116,Train,0.8017241379310345,12
577,MCA,116,Test,0.782608695652174,12
578,ACA,116,Train,0.9827586206896551,12
579,ACA,116,Test,0.8260869565217391,12
580,FFI,116,Train,0.20689655172413793,12
581,FFI,116,Test,0.21739130434782608,12
582,AMCA,116,Train,1.0,12
583,AMCA,116,Test,0.8260869565217391,12
584,MCA,116,Train,0.8103448275862069,13
585,MCA,116,Test,0.7391304347826086,13
586,ACA,116,Train,0.9827586206896551,13
587,ACA,116,Test,0.43478260869565216,13
588,FFI,116,Train,0.15517241379310345,13
589,FFI,116,Test,0.13043478260869565,13
590,AMCA,116,Train,0.9913793103448276,13
591,AMCA,116,Test,0.4782608695652174,13
592,MCA,116,Train,0.6982758620689655,14
593,MCA,116,Test,0.6086956521739131,14
594,ACA,116,Train,1.0,14
595,ACA,116,Test,0.782608695652174,14
596,FFI,116,Train,0.1896551724137931,14
597,FFI,116,Test,0.21739130434782608,14
598,AMCA,116,Train,1.0,14
599,AMCA,116,Test,0.8260869565217391,14
600,MCA,134,Train,0.746268656716418,0
601,MCA,134,Test,0.6521739130434783,0
602,ACA,134,Train,1.0,0
603,ACA,134,Test,0.8695652173913043,0
604,FFI,134,Train,0.208955223880597,0
605,FFI,134,Test,0.2608695652173913,0
606,AMCA,134,Train,1.0,0
607,AMCA,134,Test,0.8695652173913043,0
608,MCA,134,Train,0.7611940298507462,1
609,MCA,134,Test,0.7391304347826086,1
610,ACA,134,Train,1.0,1
611,ACA,134,Test,0.8260869565217391,1
612,FFI,134,Train,0.21641791044776118,1
613,FFI,134,Test,0.2608695652173913,1
614,AMCA,134,Train,1.0,1
615,AMCA,134,Test,0.8260869565217391,1
