,Method,TrainSize,Train/Test,Accuracy,Repeat ID
5,FFI,246,Test,0.2642,0
6,AMCA,246,Train,0.9837398373983741,0
7,AMCA,246,Test,0.9059999999999999,0
0,MCA,2498,Train,0.8971176941553243,0
1,MCA,2498,Test,0.8908,0
2,ACA,2498,Train,0.7377902321857486,0
3,ACA,2498,Test,0.7392,0
4,FFI,2498,Train,0.3438751000800641,0
5,FFI,2498,Test,0.3386,0
6,AMCA,2498,Train,0.9927942353883108,0
7,AMCA,2498,Test,0.991,0
0,MCA,18175,Train,0.8888033012379642,0
1,MCA,18175,Test,0.8916,0
2,ACA,18175,Train,0.8269601100412655,0
3,ACA,18175,Test,0.8058,0
4,FFI,18175,Train,0.3462448418156809,0
5,FFI,18175,Test,0.3372,0
6,AMCA,18175,Train,0.9940027510316368,0
7,AMCA,18175,Test,0.9944,0
0,MCA,9380,Train,0.8914712153518124,0
1,MCA,9380,Test,0.8936,0
2,ACA,9380,Train,0.8246268656716418,0
3,ACA,9380,Test,0.8136,0
4,FFI,9380,Train,0.344136460554371,0
5,FFI,9380,Test,0.3428,0
6,AMCA,9380,Train,0.9940298507462688,0
7,AMCA,9380,Test,0.9928,0
0,MCA,4841,Train,0.8847345589754183,0
1,MCA,4841,Test,0.8809999999999999,0
2,ACA,4841,Train,0.8012807271224953,0
3,ACA,4841,Test,0.7878,0
4,FFI,4841,Train,0.32803139847139023,0
5,FFI,4841,Test,0.3292,0
6,AMCA,4841,Train,0.9940095021689732,0
7,AMCA,4841,Test,0.9924,0
0,MCA,926,Train,0.8509719222462203,0
1,MCA,926,Test,0.8602,0
2,ACA,926,Train,0.7116630669546437,0
3,ACA,926,Test,0.6746,0
4,FFI,926,Train,0.34233261339092874,0
5,FFI,926,Test,0.2992,0
6,AMCA,926,Train,0.9913606911447084,0
7,AMCA,926,Test,0.9842,0
0,MCA,91,Train,0.7472527472527473,0
1,MCA,91,Test,0.6244,0
2,ACA,91,Train,0.8181318681318681,0
3,ACA,91,Test,0.5404,0
4,FFI,91,Train,0.3076923076923077,0
5,FFI,91,Test,0.2714,0
6,AMCA,91,Train,0.967032967032967,0
7,AMCA,91,Test,0.7332,0
0,MCA,926,Train,0.8185745140388769,0
1,MCA,926,Test,0.8102,0
2,ACA,926,Train,0.6976241900647948,0
3,ACA,926,Test,0.6904,0
4,FFI,926,Train,0.29265658747300216,0
5,FFI,926,Test,0.278,0
6,AMCA,926,Train,0.9751619870410368,0
7,AMCA,926,Test,0.9790000000000001,0
0,MCA,91,Train,0.6923076923076923,0
1,MCA,91,Test,0.5444,0
2,ACA,91,Train,0.84010989010989,0
3,ACA,91,Test,0.5848,0
4,FFI,91,Train,0.3406593406593407,0
5,FFI,91,Test,0.2204,0
6,AMCA,91,Train,0.967032967032967,0
7,AMCA,91,Test,0.7346,0
0,MCA,343,Train,0.9096209912536444,0
1,MCA,343,Test,0.8640000000000001,0
2,ACA,343,Train,0.710932944606414,0
3,ACA,343,Test,0.6709999999999999,0
4,FFI,343,Train,0.2361516034985423,0
5,FFI,343,Test,0.2328,0
6,AMCA,343,Train,0.9912536443148688,0
7,AMCA,343,Test,0.9792,0
0,MCA,246,Train,0.8089430894308943,0
1,MCA,246,Test,0.7892,0
2,ACA,246,Train,0.7508130081300812,0
3,ACA,246,Test,0.6437999999999999,0
4,FFI,246,Train,0.2764227642276423,0
5,FFI,246,Test,0.2642,0
6,AMCA,246,Train,0.9796747967479674,0
7,AMCA,246,Test,0.9302,0
0,MCA,4841,Train,0.8923776079322454,0
1,MCA,4841,Test,0.89,0
2,ACA,4841,Train,0.7808304069407147,0
3,ACA,4841,Test,0.763,0
4,FFI,4841,Train,0.34765544309027063,0
5,FFI,4841,Test,0.3276,0
6,AMCA,4841,Train,0.9919438132617228,0
7,AMCA,4841,Test,0.9912,0
0,MCA,18175,Train,0.8930949105914718,0
1,MCA,18175,Test,0.893,0
2,ACA,18175,Train,0.8251994497936727,0
3,ACA,18175,Test,0.8290000000000001,0
4,FFI,18175,Train,0.3445392022008253,0
5,FFI,18175,Test,0.3508,0
6,AMCA,18175,Train,0.9944979367262724,0
7,AMCA,18175,Test,0.9932,0
0,MCA,926,Train,0.8326133909287257,0
1,MCA,926,Test,0.8162,0
2,ACA,926,Train,0.7095032397408207,0
3,ACA,926,Test,0.6826,0
4,FFI,926,Train,0.29049676025917925,0
5,FFI,926,Test,0.299,0
6,AMCA,926,Train,0.9870410367170628,0
7,AMCA,926,Test,0.9848,0
0,MCA,177,Train,0.8531073446327684,0
1,MCA,177,Test,0.7734,0
2,ACA,177,Train,0.757909604519774,0
3,ACA,177,Test,0.6234,0
4,FFI,177,Train,0.3502824858757062,0
5,FFI,177,Test,0.2724,0
6,AMCA,177,Train,0.9774011299435028,0
7,AMCA,177,Test,0.9134,0
0,MCA,18175,Train,0.8900687757909216,0
1,MCA,18175,Test,0.8966,0
2,ACA,18175,Train,0.8008253094910591,0
3,ACA,18175,Test,0.7996,0
4,FFI,18175,Train,0.3456396148555708,0
5,FFI,18175,Test,0.3464,0
6,AMCA,18175,Train,0.993452544704264,0
7,AMCA,18175,Test,0.9926,0
0,MCA,25300,Train,0.8945454545454545,0
1,MCA,25300,Test,0.8938,0
2,ACA,25300,Train,0.814703557312253,0
3,ACA,25300,Test,0.8218,0
4,FFI,25300,Train,0.34466403162055337,0
5,FFI,25300,Test,0.34,0
6,AMCA,25300,Train,0.9934782608695653,0
7,AMCA,25300,Test,0.9916,0
0,MCA,35218,Train,0.8934635697654608,0
1,MCA,35218,Test,0.8978,0
2,ACA,35218,Train,0.8332102901925152,0
3,ACA,35218,Test,0.8322,0
4,FFI,35218,Train,0.3479754670906923,0
5,FFI,35218,Test,0.3488,0
6,AMCA,35218,Train,0.994037140098813,0
7,AMCA,35218,Test,0.993,0
0,MCA,13057,Train,0.8971432947844068,0
1,MCA,13057,Test,0.8906,0
2,ACA,13057,Train,0.797809604043808,0
3,ACA,13057,Test,0.8059999999999999,0
4,FFI,13057,Train,0.3454851803630237,0
5,FFI,13057,Test,0.3394,0
6,AMCA,13057,Train,0.99126905108371,0
7,AMCA,13057,Test,0.992,0
0,MCA,25300,Train,0.8896837944664031,0
1,MCA,25300,Test,0.8926,0
2,ACA,25300,Train,0.8582213438735178,0
3,ACA,25300,Test,0.8426,0
4,FFI,25300,Train,0.34541501976284583,0
5,FFI,25300,Test,0.3368,0
6,AMCA,25300,Train,0.9942687747035572,0
7,AMCA,25300,Test,0.9956,0
0,MCA,49024,Train,0.8930523825065274,0
1,MCA,49024,Test,0.895,0
2,ACA,49024,Train,0.853439131853786,0
3,ACA,49024,Test,0.861,0
4,FFI,49024,Train,0.3451166775456919,0
5,FFI,49024,Test,0.3438,0
6,AMCA,49024,Train,0.9936561684073107,0
7,AMCA,49024,Test,0.993,0
0,MCA,91,Train,0.6703296703296703,0
1,MCA,91,Test,0.5354,0
2,ACA,91,Train,0.7851648351648352,0
3,ACA,91,Test,0.5548,0
4,FFI,91,Train,0.25274725274725274,0
5,FFI,91,Test,0.2042,0
6,AMCA,91,Train,0.956043956043956,0
7,AMCA,91,Test,0.7518,0
0,MCA,9380,Train,0.8915778251599147,0
1,MCA,9380,Test,0.889,0
2,ACA,9380,Train,0.7721748400852878,0
3,ACA,9380,Test,0.7604,0
4,FFI,9380,Train,0.34733475479744136,0
5,FFI,9380,Test,0.335,0
6,AMCA,9380,Train,0.9938166311300641,0
7,AMCA,9380,Test,0.9916,0
0,MCA,9380,Train,0.8953091684434968,0
1,MCA,9380,Test,0.8894,0
2,ACA,9380,Train,0.8180170575692963,0
3,ACA,9380,Test,0.8212,0
4,FFI,9380,Train,0.3479744136460554,0
5,FFI,9380,Test,0.3444,0
6,AMCA,9380,Train,0.9923240938166312,0
7,AMCA,9380,Test,0.9936,0
0,MCA,18175,Train,0.8927097661623109,0
